Epoch: 88, Loss: 0.3445, Val: 0.3456, Test: 0.3583
Epoch: 89, Loss: 0.3451, Val: 0.3884, Test: 0.4147
Epoch: 90, Loss: 0.3451, Val: 0.3502, Test: 0.3679
Epoch: 91, Loss: 0.3411, Val: 0.4007, Test: 0.4396
Epoch: 92, Loss: 0.3384, Val: 0.3392, Test: 0.3658
Epoch: 93, Loss: 0.3400, Val: 0.3693, Test: 0.3894
Epoch: 94, Loss: 0.3433, Val: 0.3760, Test: 0.3953
Epoch: 95, Loss: 0.3360, Val: 0.3428, Test: 0.3623
Epoch: 96, Loss: 0.3335, Val: 0.3396, Test: 0.3525
Epoch: 97, Loss: 0.3397, Val: 0.4005, Test: 0.4228
Epoch: 98, Loss: 0.3375, Val: 0.3520, Test: 0.3761
Epoch: 99, Loss: 0.3298, Val: 0.3446, Test: 0.3574
Epoch: 100, Loss: 0.3341, Val: 0.3530, Test: 0.3812
Epoch: 101, Loss: 0.3451, Val: 0.3421, Test: 0.3547
Epoch: 102, Loss: 0.3312, Val: 0.3821, Test: 0.3981
Epoch: 103, Loss: 0.3344, Val: 0.3542, Test: 0.3661
Epoch: 104, Loss: 0.3258, Val: 0.3595, Test: 0.3613
Epoch: 105, Loss: 0.3304, Val: 0.3491, Test: 0.3672
Epoch: 106, Loss: 0.3295, Val: 0.3547, Test: 0.3906
Epoch: 107, Loss: 0.3282, Val: 0.3289, Test: 0.3469
Epoch: 108, Loss: 0.3341, Val: 0.3656, Test: 0.3844
Epoch: 109, Loss: 0.3318, Val: 0.3702, Test: 0.3913
Epoch: 110, Loss: 0.3397, Val: 0.3991, Test: 0.4231
Epoch: 111, Loss: 0.3269, Val: 0.3948, Test: 0.4089
Epoch: 112, Loss: 0.3305, Val: 0.3357, Test: 0.3599
Epoch: 113, Loss: 0.3252, Val: 0.3410, Test: 0.3633
Epoch: 114, Loss: 0.3260, Val: 0.3608, Test: 0.3786
Epoch: 115, Loss: 0.3280, Val: 0.3554, Test: 0.3718
Epoch: 116, Loss: 0.3403, Val: 0.3730, Test: 0.3836
Epoch: 117, Loss: 0.3339, Val: 0.3411, Test: 0.3604
Epoch: 118, Loss: 0.3262, Val: 0.3334, Test: 0.3461
Epoch: 119, Loss: 0.3279, Val: 0.3736, Test: 0.3864
Epoch: 120, Loss: 0.3264, Val: 0.3318, Test: 0.3551
Epoch: 121, Loss: 0.3248, Val: 0.3365, Test: 0.3549
Epoch: 122, Loss: 0.3256, Val: 0.3275, Test: 0.3490
Epoch: 123, Loss: 0.3251, Val: 0.3240, Test: 0.3459
Epoch: 124, Loss: 0.3269, Val: 0.3535, Test: 0.3747
Epoch: 125, Loss: 0.3297, Val: 0.3321, Test: 0.3539
Epoch: 126, Loss: 0.3217, Val: 0.3372, Test: 0.3581
Epoch: 127, Loss: 0.3308, Val: 0.3288, Test: 0.3500
Epoch: 128, Loss: 0.3279, Val: 0.3342, Test: 0.3501
Epoch: 129, Loss: 0.3235, Val: 0.3739, Test: 0.4021
Epoch: 130, Loss: 0.3246, Val: 0.3516, Test: 0.3620
Epoch: 131, Loss: 0.3216, Val: 0.3747, Test: 0.3844
Epoch: 132, Loss: 0.3245, Val: 0.3356, Test: 0.3432
Epoch: 133, Loss: 0.3218, Val: 0.3556, Test: 0.3715
Epoch: 134, Loss: 0.3241, Val: 0.3380, Test: 0.3628
Epoch: 135, Loss: 0.3188, Val: 0.3477, Test: 0.3589
Epoch: 136, Loss: 0.3191, Val: 0.3362, Test: 0.3581
Epoch: 137, Loss: 0.3193, Val: 0.3373, Test: 0.3512
Epoch: 138, Loss: 0.3253, Val: 0.3393, Test: 0.3589
Epoch: 139, Loss: 0.3235, Val: 0.3534, Test: 0.3686
Epoch: 140, Loss: 0.3182, Val: 0.3393, Test: 0.3548
Epoch: 141, Loss: 0.3249, Val: 0.3367, Test: 0.3536
Epoch: 142, Loss: 0.3240, Val: 0.3264, Test: 0.3530
Epoch: 143, Loss: 0.3223, Val: 0.3406, Test: 0.3634
Epoch: 144, Loss: 0.3165, Val: 0.3446, Test: 0.3505
Epoch: 145, Loss: 0.3050, Val: 0.3455, Test: 0.3631
Epoch: 146, Loss: 0.3043, Val: 0.3210, Test: 0.3296
Epoch: 147, Loss: 0.3002, Val: 0.3281, Test: 0.3478
Epoch: 148, Loss: 0.3005, Val: 0.3218, Test: 0.3354
Epoch: 149, Loss: 0.2977, Val: 0.3239, Test: 0.3456
Epoch: 150, Loss: 0.2967, Val: 0.3289, Test: 0.3441
Epoch: 151, Loss: 0.2993, Val: 0.3153, Test: 0.3320
Epoch: 152, Loss: 0.2991, Val: 0.3262, Test: 0.3469
Epoch: 153, Loss: 0.2987, Val: 0.3183, Test: 0.3334
Epoch: 154, Loss: 0.2999, Val: 0.3185, Test: 0.3350
Epoch: 155, Loss: 0.2951, Val: 0.3175, Test: 0.3315
Epoch: 156, Loss: 0.2982, Val: 0.3148, Test: 0.3273
Epoch: 157, Loss: 0.3014, Val: 0.3243, Test: 0.3378
Epoch: 158, Loss: 0.2968, Val: 0.3318, Test: 0.3469
